user_id,day,day_of_week,time
122,9,6,12:14:22
182,9,6,12:14:42
241,9,6,12:14:50
3,9,6,12:15:23
122,9,6,12:15:36
182,9,6,12:15:43
122,9,6,12:15:55
122,9,6,12:16:33
430,9,6,12:17:47
66,9,6,12:17:49
449,9,6,12:18:03
81,9,6,12:18:10
42,9,6,12:18:43
95,9,6,12:18:44
351,9,6,12:18:45
350,9,6,12:19:19
280,9,6,12:19:28
351,9,6,12:20:28
363,9,6,12:21:03
314,9,6,12:21:14
91,9,6,12:23:36
188,9,6,12:24:51
115,9,6,12:25:38
375,9,6,12:29:25
63,9,6,12:31:53
63,9,6,12:32:03
148,9,6,12:36:02
307,9,6,12:36:49
307,9,6,12:37:27
6,9,6,12:39:48
192,9,6,12:41:40
174,9,6,12:50:42
208,9,6,12:56:24
278,9,6,13:06:42
340,9,6,13:08:19
410,9,6,13:26:25
410,9,6,13:27:01
258,9,6,14:04:57
160,9,6,14:48:01
148,9,6,14:49:43
220,9,6,15:02:32
233,9,6,15:07:20
363,9,6,15:56:32
252,9,6,15:56:45
188,9,6,16:01:58
188,9,6,16:02:25
255,9,6,16:06:16
375,9,6,16:06:26
261,9,6,16:08:24
12,9,6,16:25:42
327,9,6,16:42:55
327,9,6,16:42:58
120,9,6,16:49:30
444,9,6,16:49:43
50,9,6,17:27:31
275,9,6,17:33:35
120,9,6,17:40:32
5,9,6,17:47:19
5,9,6,17:49:11
307,9,6,17:51:44
148,9,6,18:19:19
188,9,6,19:04:46
370,9,6,19:25:40
312,9,6,19:39:18
255,9,6,19:54:35
220,9,6,20:19:13
85,9,6,20:21:43
460,9,6,20:27:38
137,9,6,20:42:04
120,9,6,20:58:11
307,9,6,21:08:37
388,9,6,21:13:25
388,9,6,21:13:45
451,9,6,21:18:03
174,9,6,21:39:32
363,9,6,21:40:15
363,9,6,21:40:23
7,9,6,21:43:48
7,9,6,21:44:33
219,9,6,22:21:49
406,9,6,22:22:49
163,9,6,22:24:05
63,9,6,22:24:13
278,9,6,22:24:16
209,9,6,22:24:17
163,9,6,22:24:29
